# dbdog-release 权威模块清单（机器可读；README 版本表是它的镜像）。
# 由 scripts/publish/publish.sh 维护，勿手改（手改需同步 README 与桶内文件）。
# 列（TAB 分隔）：
#   module  kind(first-party|third-party)  target(stack|dbhost)  service(yes|no)
#   version  artifact  sha256  source_sha
# version/artifact/sha256 为 "-" 表示尚未发布过。
# 说明：
#   - dbdog-server 模块内含 dbdog-server 与 ddsql-server 两个二进制及 migrations/。
#   - dbdog-agent 的 source_sha 形如 agent:<sha7>,core:<sha7>（含 agent-core，二者任一变更即视为变更）。
#   - dbdog-agent 产物是 omnibus 运行时 tarball（非 rpm；自制 rpm 被 fork 明确禁止），
#     DB 主机通过 scripts/upgrade.sh dbdog-agent 完成下载、root cutover、配置与真实采集验收。
#   - agent-core 不是模块：构建期被打进 dbdog-agent 的 omnibus 运行时。
dbdog-server	first-party	stack	yes	0.1.6	dbdog-server-0.1.6-aarch64.tar.gz	9b75c71d09457851f0255fb454bf1c8317200c5f9878ba29a8ce0d400108efa4	3c70b7d
dbdog-web	first-party	stack	yes	0.1.7	dbdog-web-0.1.7-aarch64.tar.gz	65a868ad69a1d9add6b0f001851ac13719067afe9de0f45c4b321542cefcf5ce	3903e72
dbdog-mcp	first-party	stack	yes	0.1.4	dbdog-mcp-0.1.4-noarch.tar.gz	ec09a64b827f87054e2fd007e1949550ab89cca385fa48ce24336bffe1c22739	0de1c3e
dbdog-agent	first-party	dbhost	no	7.81.0-dbdog.3	dbdog-agent-7.81.0-dbdog.3-aarch64.tar.gz	f4910628ae56f94437510fa1157a01440fda35f76219ea42a9be4c80dbd2f0b2	agent:62ad297,core:d725d98
postgresql	third-party	stack	yes	16.14-dbdog.1	postgresql-16.14-dbdog.1-aarch64.tar.gz	b06dda29e65ad765c6defaff2b4d8e9519dc8569b9a772ad1b38ac155c34184b	-
clickhouse	third-party	stack	yes	26.8.1.184	clickhouse-26.8.1.184-aarch64.tar.gz	fb72234cc32e9f3ea6247511cddb9994b129002f9c05f48fc797f6451e237130	-
node	third-party	stack	no	20.18.1	node-20.18.1-aarch64.tar.gz	fdcb9715f091fe19d58f6e98f0acc27962977e0e28344f2f31189931cb0986c3	-
goose	third-party	stack	no	3.27.3	goose-3.27.3-aarch64.tar.gz	8607989eb322f392521d0a8b5ba9dbaaf2a508d619ca30ffe18c9085d4edffd4	-
